'ENTROPY Oil and gas '
    10   10
     .221111E+07    .222222E+02
     .100000E+06   -.610352E-05
     .187090E+07    .219493E+07    .247104E+07    .269252E+07    .285859E+07
     .297338E+07    .304485E+07    .308385E+07    .310332E+07    .311741E+07
     .000000E+00    .000000E+00    .000000E+00    .000000E+00    .000000E+00
     .000000E+00    .524711E+05    .104257E+06    .190923E+06    .327004E+06
 GAS DENSITY (KG/M3)
     .709875E+00    .664197E+00    .648158E+00    .697351E+00    .882200E+00
     .131947E+01    .218088E+01    .356396E+01    .336789E+01    .319386E+01
     .172404E+02    .157553E+02    .145537E+02    .136468E+02    .130791E+02
     .129576E+02    .134548E+02    .148152E+02    .173711E+02    .215780E+02
     .343436E+02    .313837E+02    .289402E+02    .270399E+02    .257623E+02
     .252611E+02    .257844E+02    .276985E+02    .315219E+02    .379788E+02
     .514468E+02    .454544E+02    .433305E+02    .404555E+02    .385153E+02
     .377454E+02    .385204E+02    .413957E+02    .471671E+02    .569756E+02
     .685500E+02    .605604E+02    .577208E+02    .538711E+02    .512683E+02
     .502296E+02    .512565E+02    .550928E+02    .628122E+02    .759725E+02
     .782690E+02    .756664E+02    .721111E+02    .672867E+02    .640213E+02
     .627138E+02    .639925E+02    .687900E+02    .784574E+02    .949694E+02
     .938974E+02    .907724E+02    .865014E+02    .807023E+02    .767743E+02
     .751980E+02    .767285E+02    .824872E+02    .941026E+02    .113966E+03
     .109526E+03    .105878E+03    .941179E+02    .941179E+02    .895273E+02
     .876822E+02    .894646E+02    .961844E+02    .109748E+03    .132963E+03
     .125154E+03    .115282E+03    .107533E+03    .107533E+03    .102280E+03
     .100166E+03    .102201E+03    .109882E+03    .125393E+03    .151960E+03
     .140783E+03    .129672E+03    .120949E+03    .115033E+03    .115033E+03
     .112651E+03    .114937E+03    .123579E+03    .141038E+03    .170957E+03
 LIQUID DENSITY (KG/M3)
     .800807E+03    .786336E+03    .770456E+03    .753023E+03    .733864E+03
     .712768E+03    .689484E+03    .665453E+03    .665453E+03    .602032E+03
     .787306E+03    .771885E+03    .756296E+03    .739604E+03    .720828E+03
     .699840E+03    .676430E+03    .650307E+03    .621085E+03    .588241E+03
     .789295E+03    .774352E+03    .758085E+03    .740366E+03    .721040E+03
     .699924E+03    .676795E+03    .651376E+03    .623311E+03    .592135E+03
     .791200E+03    .776702E+03    .760976E+03    .743916E+03    .725401E+03
     .705290E+03    .683422E+03    .659605E+03    .633614E+03    .605181E+03
     .793026E+03    .778945E+03    .763721E+03    .747267E+03    .729487E+03
     .710273E+03    .689508E+03    .667060E+03    .642786E+03    .616530E+03
     .794780E+03    .781090E+03    .766333E+03    .750437E+03    .733328E+03
     .714922E+03    .695134E+03    .673873E+03    .651051E+03    .626581E+03
     .796465E+03    .783143E+03    .768822E+03    .753444E+03    .736949E+03
     .719275E+03    .700360E+03    .680143E+03    .658571E+03    .635601E+03
     .798086E+03    .785112E+03    .771200E+03    .756302E+03    .740373E+03
     .723366E+03    .705237E+03    .685947E+03    .665467E+03    .643782E+03
     .799647E+03    .787001E+03    .773473E+03    .759024E+03    .743618E+03
     .727222E+03    .709805E+03    .691346E+03    .671831E+03    .651264E+03
     .801152E+03    .788817E+03    .775649E+03    .761620E+03    .746700E+03
     .730867E+03    .714100E+03    .696390E+03    .677736E+03    .658153E+03
 DRHOG/DP (S2/M2)
     .711592E-05    .665435E-05    .649173E-05    .698511E-05    .884487E-05
     .132708E-04    .221479E-04    .370971E-04    .348309E-04    .328589E-04
     .773512E-05    .706813E-05    .648400E-05    .603439E-05    .575467E-05
     .568569E-05    .590140E-05    .651380E-05    .768810E-05    .968160E-05
     .773512E-05    .706813E-05    .650818E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .773512E-05    .683186E-05    .650818E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .773512E-05    .683186E-05    .650818E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .706813E-05    .683186E-05    .650818E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .706813E-05    .683186E-05    .650818E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .706813E-05    .683186E-05    .606735E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .706813E-05    .650818E-05    .606735E-05    .606735E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
     .706813E-05    .650818E-05    .606735E-05    .576769E-05    .576769E-05
     .564613E-05    .576002E-05    .619470E-05    .707570E-05    .859155E-05
 DRHOL/DP (S2/M2)
